,City Name,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
477,Half Moon Bay,37.46,-122.43,54.09,62,3.31,1
478,Huambo,-12.78,15.74,62.55,67,2.93,59
479,Puerto Colombia,10.99,-74.95,89.6,66,9.17,40
480,Péta,39.17,21.03,46.24,93,2.26,20
481,Shache,38.42,77.24,20.89,94,3.69,0
482,Ryōtsu-minato,38.08,138.43,35.04,82,20.62,100
483,Oranjemund,-28.55,16.43,63.73,76,18.07,0
484,Vlorë,40.47,19.49,55.11,83,2.64,9
485,Yulara,-25.24,130.99,80.6,47,10.29,75
486,Megion,61.03,76.11,8.6,92,4.47,90
487,Martapura,-3.42,114.85,75.2,100,2.24,90
488,Balikpapan,-1.27,116.83,75.67,92,4.47,100
489,Fare,-16.7,-151.02,80.8,77,19.1,100
490,Nísia Floresta,-6.09,-35.21,86.0,62,17.22,20
491,Bétaré Oya,5.6,14.08,77.09,22,4.72,0
492,Ilovlya,49.3,43.98,23.0,85,11.18,90
493,Nyanza,-2.35,29.75,59.32,90,1.34,60
494,Jaguarari,-10.26,-40.2,86.83,36,8.25,18
495,Belyy Yar,53.6,91.39,12.2,85,4.47,100
496,Zirgan,53.22,55.92,20.82,96,12.21,100
497,Anchorage,61.22,-149.9,27.86,92,1.23,90
498,Norrtälje,59.76,18.7,41.59,87,10.0,0
499,Semey,50.41,80.23,3.13,88,5.14,0
500,Sambava,-14.27,50.17,77.83,87,8.12,0
501,Gdov,58.74,27.81,36.18,96,10.71,99
502,Port Augusta,-32.5,137.77,59.63,72,12.75,90
503,Ploemeur,47.73,-3.43,49.37,87,8.05,75
504,Caravelas,-17.71,-39.25,81.25,66,9.31,100
505,Nouadhibou,20.93,-17.03,73.4,60,16.11,0
506,Miraflores,19.22,-98.81,67.44,42,8.05,20
507,Tumbagaan,5.37,120.31,80.15,78,4.45,31
508,Rīga,57.0,24.08,41.0,100,3.36,90
509,San Fernando,15.03,120.69,75.2,83,2.24,75
510,Oktyabr'skiy,54.48,53.47,22.3,96,9.73,100
511,Karratha,-20.74,116.85,81.05,73,9.15,42
512,Adrar,20.5,-10.07,72.77,21,7.65,0
513,Shiyan,32.65,110.78,35.31,75,0.89,95
514,Mokobeng,-23.0,27.67,67.59,86,9.93,96
515,Santa Luzia,-19.77,-43.85,86.95,43,9.17,20
516,Umm Kaddadah,13.6,26.69,69.03,24,16.02,8
517,Amapá,1.0,-52.0,92.75,39,5.35,58
518,Fort Saint James,54.43,-124.25,30.4,94,7.38,100
519,Aksay,47.26,39.87,30.2,86,6.71,75
520,Trairi,-3.28,-39.27,84.6,64,12.3,100
521,Point Pedro,9.82,80.23,78.85,85,13.94,99
522,Kavaratti,10.57,72.64,82.38,67,1.3,3
523,Kensington,-33.92,151.22,70.05,99,1.99,93
524,Vanimo,-2.67,141.3,80.42,82,5.06,100
525,Cadillac,44.25,-85.4,26.06,73,11.41,1
526,Shimoda,34.67,138.95,32.0,71,1.01,0
527,Inhambane,-23.86,35.38,78.39,83,2.24,40
528,Awjilah,29.11,21.29,54.66,78,3.85,0
529,Bereda,43.27,-7.54,44.28,100,5.99,3
530,Shemonaīkha,50.63,81.91,2.12,88,5.1,0
531,Avanigadda,16.02,80.92,72.57,86,4.29,100
532,Kisangani,0.52,25.2,76.39,74,1.43,0
533,Paamiut,61.99,-49.67,35.42,78,7.94,94
534,Yangi Marg`ilon,40.43,71.72,28.4,68,4.7,0
535,Guarapari,-20.67,-40.5,83.55,66,18.34,20
536,Assiut,27.18,31.18,60.8,41,8.05,0
537,Trincomalee,8.57,81.23,79.59,79,4.03,0
538,Morgan City,29.7,-91.21,49.46,81,10.29,75
539,Cisarua,-6.65,106.47,75.42,92,7.0,96
540,Juneau,58.3,-134.42,30.58,92,5.88,90
541,Herat Province,34.5,62.0,28.4,79,4.99,0
542,Tancheng,27.44,115.5,38.73,79,2.13,100
543,Cayenne,4.93,-52.33,82.4,74,6.93,100
544,Rāyagada,19.17,83.42,66.02,76,1.28,3
545,Kathu,7.92,98.33,82.92,88,3.36,20
546,Soyo,-6.13,12.37,77.88,85,10.58,100
547,Şile,41.18,29.61,53.01,74,3.0,96
548,Ganzhou,28.82,115.43,39.58,68,6.58,100
